Date,Region,VideoID,Title,Views,Unique users,Unique users (7 days),Unique users (30 days),Popularity,Comments,Favorites,Rating 1,Rating 2,Rating 3,Rating 4,Rating 5
2011-07-01,SY,xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,MO,xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,CO,xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",0,0,1,4,0,0,0,0,0,0,0,0
2011-07-01,PA,xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,KN,xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,JP,xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",2,2,10,58,0.000392,0,0,0,0,0,0,0
2011-07-01,HM,xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,GR,xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",0,0,2,9,0,0,0,0,0,0,0,0
2011-07-01,NP,xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,SZ,xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,MG,xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,BW,xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,BI,xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,LA,xv9yFkEP6qI,"""All Nighter"" - feat. Kinect & Maya motion capture",0,0,0,1,0,0,0,0,0,0,0,0
